course_code,course_id,course_name,faculty,school,,keywords,,,,,,#VALUE!,,overview
ACCT3995,ACCT3995Undergraduate,Fraud Examination Fundamentals,UNSW Business School,"School of Acctng, Audit & Tax",,"fraud,examination,fundamentals,frau,management",,,,,,Course Link,,"How can you, as a future accountant or manager, join the fight against organizational fraud? This course teaches you how to safeguard businesses against fraud. It covers what fraud is, why people do it, and how you can best prevent and detect it. You will also learn how to investigate fraud using the latest available methods and techniques.  Designed in collaboration with experts from a leading forensic accounting firm and law enforcement agencies, this course equips you to understand organizational fraud vulnerabilities and take control. It is also an essential first step toward an exciting career in forensic accounting."
ACTL1101,ACTL1101Undergraduate,Introduction to Actuarial Studies,UNSW Business School,School of Risk & Actuarial St,,"actuarial,studies,intr,management,design",,,,,,Course Link,,"This course is designed to provide an introduction to actuarial studies.  It covers the fundamental modelling tools used by actuaries (probability, statistics, financial mathematics), as well as some of the basic actuarial models in areas such as insurance, superannuation or financial risk management, and which will be studied in great depth during the remainder of the degree. The main areas of actuarial practice and research are also introduced and discussed. Finally, labs will provide a foundation in programming, as well as data manipulation and visualisation, with a particular focus on R."
ACTL2102,ACTL2102Undergraduate,Foundations of Actuarial Models,UNSW Business School,School of Risk & Actuarial St,,"foundations,actuarial,models,foun,management",,,,,,Course Link,,"This course introduces the stochastic models used by actuaries to model both liabilities and assets and illustrates their applications in actuarial work. Topics covered include discrete-time and continuous-time Markov chains and their applications to experience rating; Markov process models and applications to actuarial modelling practice including in areas such as insurance, financial risk, and social policy; methods for simulation of a stochastic process; estimation of Markov chains. Students will be expected to implement models using the R software in a numerical computer package."
ACTL2111,ACTL2111Undergraduate,Financial Mathematics for Actuaries,UNSW Business School,School of Risk & Actuarial St,,"financial,mathematics,actuaries,fina,management",,,,,,Course Link,,"This course develops the financial mathematics required for the analysis of financial and insurance transactions. Topics covered include: mathematics of compound interest; analysis and valuation of annuities, bonds, loans and derivative securities; yield curves and immunisation; introduction to stochastic interest rate models and actuarial applications."
ACTL2131,ACTL2131Undergraduate,Probability and Mathematical Statistics,UNSW Business School,School of Risk & Actuarial St,,"probability,mathematical,statistics,prob,management",,,,,,Course Link,,"This course covers probability and statistics topics relevant to actuarial studies. Topics covered include univariate/multivariate random variables, moments, probability generating functions, moment generating functions, marginal and conditional distributions, sampling distributions, estimation methods, hypothesis tests. Examples relevant to actuarial studies, finance and insurance are used to illustrate the application of the topics covered."
ACTL3141,ACTL3141Undergraduate,Modelling and Prediction of Life and Health Related Risks,UNSW Business School,School of Risk & Actuarial St,,"modelling,prediction,life,health,related",,,,,,Course Link,,"This course equips students with the technical skills needed to estimate survival models, emphasising their applications in insurance, finance, demography, and epidemiology. These models help understand and predict risks related to events such as mortality, health changes, and credit defaults, allowing for better risk management. Key topics include: survival models; estimation of lifetime distributions; maximum likelihood estimation of transition intensities in multi-state models; graduation and smoothing of crude death rates and transition intensity estimates; and models for projecting mortality trends. The course will also focus on implementing these concepts using numerical computer packages. Additionally, it will address ethical considerations and issues related to discrimination and heterogeneity in mortality and health outcomes."
ACTL3142,ACTL3142Undergraduate,Statistical Machine Learning for Risk and Actuarial Applications,UNSW Business School,School of Risk & Actuarial St,,"statistical,machine,learning,risk,actuarial",,,,,,Course Link,,"This course introduces students to statistical learning techniques and their application to actuarial analysis and decision-making. It covers various aspects of data analysis, including: exploratory data analysis; classification and prediction using regression and generalized linear models; descriptive, inferential, and predictive analysis and models; statistical and machine learning, including supervised and unsupervised learning. The course also addresses ethical, regulatory, and professional issues, as well as risks and risk management associated with data analysis. A particular focus is placed on effectively communicating technical results for business applications."
ACTL3143,ACTL3143Undergraduate,Artificial Intelligence and Deep Learning Models for Actuarial Applications,UNSW Business School,School of Risk & Actuarial St,,"artificial,intelligence,deep,learning,models",,,,,,Course Link,,"Advances in artificial intelligence and machine learning - especially in deep learning methods - are creating products and services with the potential to change the insurance industry and actuarial work. This course will introduce students to concepts in Artificial Intelligence (AI), with particular focus on deep learning models, and their applications to actuarial work.  A particular focus of the course will be on how those AI models can be combined with other actuarial techniques in order to solve business problems in insurance and risk management including pricing, reserving and capital management, and insurance business processes. Students will be expected to understand the theory behind the models considered and their relationship to other actuarial techniques, and to fit and evaluate various deep learning models using appropriate software.  "
ACTL3151,ACTL3151Undergraduate,Actuarial Mathematics for Insurance and Superannuation,UNSW Business School,School of Risk & Actuarial St,,"actuarial,mathematics,insurance,superannuation,actu",,,,,,Course Link,,"Long-term contingent cashflow valuation is fundamental for actuarial work, especially for life-, disability- and health insurance, pensions and superannuation. They are also increasingly applied in broader areas in social protection and policy. This course introduces models and techniques from actuarial mathematics combining the present value principles with stochastic modelling, in order to derive the value of contingent cashflows for pricing, reserving, projections and profit testing purposes. The course also covers contemporary management issues in life, health and superannuation products such as longevity, and premium rating. Spreadsheets will be used to perform computations."
ACTL3162,ACTL3162Undergraduate,General Insurance Techniques,UNSW Business School,School of Risk & Actuarial St,,"general,insurance,techniques,gene,management",,,,,,Course Link,,"This course explores various actuarial models and statistical techniques applicable to general insurance practice. It includes topics such as loss data analysis, model evaluation; frequency, severity, and aggregate loss models; reinsurance; premium calculation; claims reserving; ruin theory; Bayesian statistics; credibility. Students will apply these methods to the principles of pricing and reserving for common general insurance and reinsurance coverages."
ACTL3182,ACTL3182Undergraduate,Asset-Liability and Derivative Models,UNSW Business School,School of Risk & Actuarial St,,"asset,liability,derivative,models,asse",,,,,,Course Link,,"This course is to provide students with an appreciation of the mathematical and economic models of investment markets and highlight their application (and shortcomings) in asset-liability management for insurance, superannuation and funds management and in the pricing of derivatives.  Topics covered include; risk and utility; risk measures; mean variance models; factor models; asset liability models using portfolio selection models; equilibrium and arbitrage-free valuation; valuation of derivatives; term structure models; credit risk models and actuarial stochastic investment models and their application. The topics will be illustrated with applications to the valuation and risk management of insurance and superannuation contracts especially those with embedded options and financial guarantees - with a particular focus on the inadequacies of the models for investment risk management. The course will include case studies on investment and derivative disasters. "
ACTL3191,ACTL3191Undergraduate,Superannuation and Retirement Benefits,UNSW Business School,School of Risk & Actuarial St,,"superannuation,retirement,benefits,supe,management",,,,,,Course Link,,"This course provides a comprehensive analysis of the economics and finance of retirement income provision. It is designed to provide students with a solid understanding of the theoretical and public-policy issues associated with the design and implementation of policies for retirement income provision in Australia and internationally. Topics covered include: demographic trends and the economic impact of population ageing; rationale for public provision and/or regulation of private retirement income provision; assessment of alternative models for retirement income provision; retirement income provision in Australia; the taxation and regulation of retirement savings and benefits; the structure, performance and efficiency of the superannuation industry; and international comparisons in policy design and implementation"
ACTL3192,ACTL3192Undergraduate,Retirement Saving and Spending Over the Lifecycle,UNSW Business School,School of Risk & Actuarial St,,"retirement,saving,spending,over,lifecycle",,,,,,Course Link,,"Helping individuals make better financial decisions and improve their financial well-being over the lifecycle represents a grand challenge for government, business, and not-for-profit organisations. This synthesis course provides opportunities for students to work in diverse teams to solve real-world problems related to this grand challenge through applying, integrating and synthesising their knowledge and skills from multi-disciplinary perspectives.  This course will be a fully problem-based learning experience. Throughout the course, students will apply their multi-disciplinary knowledge, critical thinking, problem-solving and teamwork skills to solve real industry problems. Students will have opportunities to engage with and receive feedback from industry partners. Building on students' pre-existing knowledge in their specific disciplinary domain, this course will cover the following topics to further equip students with relevant theoretical framework, industry knowledge and research insights to solve the industry problems: lifecycle theories of consumption and saving; human capital and the retirement decision; lifecycle investment strategy; risks facing individual retirees and providers of retirement income products (employment risk, investment risk, longevity risk, inflation risk, health risk); retirement income products; behavioural explanations for non-rational saving and investment behaviours including myopia, procrastination, mental accounting, framing, loss aversion etc."
ACTL3301,ACTL3301Undergraduate,Quantitative Risk Management,UNSW Business School,School of Risk & Actuarial St,,"quantitative,risk,management,quan,finance",,,,,,Course Link,,"Australia is vulnerable to natural disasters with the highest economic consequences. Typical examples include heatwaves, floods, cyclones, bushfires, and earthquakes, many of which are on the rise in both frequency and severity. Similarly, financial market losses have significant impacts on financial institutions and society. This course introduces students to advanced statistical and actuarial models for a variety of risks in financial institutions such as banks, insurance/reinsurance companies, and superannuation funds. The course explores quantitative methods of risk measurement and modelling, with a special focus on extreme losses, extreme dependence, and loss aggregation over time. Topics covered include: risk measures; multivariate models; copulas and dependence; financial time series; extreme value theory; market credit and operational risk. Students will be implementing the models using computer software."
ACTL4001,ACTL4001Undergraduate,Actuarial Theory and Practice A,UNSW Business School,School of Risk & Actuarial St,,"actuarial,theory,practice,actu,management",,,,,,Course Link,,"This course, along with ACTL4002, corresponds to the Actuarial Control Cycle in the Actuary Program of the Actuaries Institute. This course develops the theory and practice underlying the actuarial management of risk-based and other products offered by financial institutions. The course draws examples from actuarial practice and discusses implications for life insurance, general insurance, superannuation, asset-liability management and other areas where actuaries are involved in product design, pricing, reserving, investment and surplus management. The course emphasises recent developments in actuarial theory and practice."
ACTL4002,ACTL4002Undergraduate,Actuarial Theory and Practice B,UNSW Business School,School of Risk & Actuarial St,,"actuarial,theory,practice,actu,management",,,,,,Course Link,,"This course, along with ACTL4001, corresponds to the Actuarial Control Cycle in the Actuary Program of the Actuaries Institute. This course develops the theory and practice underlying the actuarial management of risk-based and other products offered by financial institutions. It draws examples from actuarial practice and discusses implications for life insurance, general insurance, superannuation, asset-liability management and other areas where actuaries are involved in product design, pricing, reserving, investment and surplus management. The course emphasises recent developments in actuarial theory."
ACTL4305,ACTL4305Undergraduate,Actuarial Data Science Applications,UNSW Business School,School of Risk & Actuarial St,,"actuarial,data,science,applications,actu",,,,,,Course Link,,"This course covers the actuarial professional associateship syllabus for actuarial data science principles. It combines data analytics and modelling concepts with practical applications of modern analytical tools and techniques, focusing on their actuarial applications. This course covers the key iterative steps involved in building a model: business understanding, data understanding and preparation, modelling, evaluation, communication, and deployment. The course emphasises selecting appropriate predictive modelling techniques for specific situations and evaluating model suitability considering business context and objectives. Special focus is placed on effectively communicating modelling results to various business decision-making audiences."
ADAD3000,ADAD3000Undergraduate,Professional Experience Project,"Faculty of Arts, Design & Arch",School of Art & Design,,"professional,experience,project,prof,management",,,,,,Course Link,,Work Integrated Learning (WIL) provides undergraduate students in the School of Art & Design with an opportunity to apply their prior academic learning in a creative workplace. Through this course you will explore possible career pathways by undertaking a professional placement relevant to your studies and professional interests. Professional placements require prior approval from the Course Convenor and must be appropriate in duration (typically 100 hours). Placement opportunities can be either self-sourced or advertised by the School. Please contact the Faculty WIL Unit for further details: ada-wil@unsw.edu.au
ADAD4020,ADAD4020Undergraduate,Art and Design in Practice,"Faculty of Arts, Design & Arch",School of Art & Design,,"art,design,practice,management,systems",,,,,,Course Link,,"The course enhances your Honours research by helping you to identify key professional practice skills, attributes, and aspirations aligned with your practice, research, and professional interests. The course brings students together from across Art & Design Honours programs to explore and share a multitude of research and career trajectories. By asking you to pro-actively identify pathways, precedents, and opportunities that align with your current project and future interests, the course encourages you to consider how you can build on your research for contexts beyond the frameworks of the Honours year. Whether you are interested in developing an independent practice, working collaboratively, engaging with industry, seeking employment, and/or postgraduate study, this course is designed to enhance your repertoire of skills for a successful transition post-Honours. The course also actively contributes to your Honours project by facilitating the integration of professional practice skills in your research and seeking critical feedback through an open studio event showcasing your works in progress"
AERO3110,AERO3110Undergraduate,Aerospace Design 1,Faculty of Engineering,School of Mech & Manf. Eng,,"aerospace,design,aero,management,systems",,,,,,Course Link,,"Aerospace Design 1 provides students with a grounding in aerospace design, in terms of both structural design and aerospace systems. In this course, you will consider the safe design of aerospace structures, through learning to access and use approved material data, understanding critical regulations, applying appropriate safety factors, and combining this with detailed structural analysis to produce technical design reports. You will also be introduced to a range of aerospace systems, and delve into the design drivers and redundancy requirements for flight safety, as well as exploring different systems implementations for mission requirements. To consolidate learning, the final experiential project requires you to work in small teams to design, manufacture, and test to failure a representative aerospace part, demonstrating structural strength requirements."
AERO3410,AERO3410Undergraduate,Aerospace Structures,Faculty of Engineering,School of Mech & Manf. Eng,,"aerospace,structures,aero,management,design",,,,,,Course Link,,"This course covers introductory and intermediate topics related to analysis and design of airframes: Basics

Basic flight mechanics and simple manoeuvres (to understand airframe loads) for both terrestrial and launch aerospace vehicles
Weights and balances
Introduction to aerostructure design and function
Aeroelasticity (optional flex week topic) Thin Walled Structures

Thin-walled beam approximation
Solid mechanics - Stress, strain, invariants
Structural idealisation
Bending, shear and torsion of complex beams
Aerospace Materials

Lightweight materials - Alloys and composites
Failure prediction
Material degradation through fatigue
Analysis of composite materials
Buckling

Buckling of columns and plates
Stiffened panel analysis and design"
AERO3630,AERO3630Undergraduate,Aerodynamics,Faculty of Engineering,School of Mech & Manf. Eng,,"aerodynamics,aero,management,design,research",,,,,,Course Link,,"The overall aim of this course is to introduce students to the art and science of aerodynamics: how fluid motion generates the forces and moments on air vehicles required for flight. In this course you will learn how air creates the forces - lift and drag - on aerospace vehicles. You will learn how to measure these forces in the ab and calculate them using theory. You will also learn how to design a wing for subsonic and supersonic aircraft. Additionally, you will have a brief introduction to the science of aeroacoustics."
AERO3660,AERO3660Undergraduate,Flight Performance and Propulsion,Faculty of Engineering,School of Mech & Manf. Eng,,"flight,performance,propulsion,flig,management",,,,,,Course Link,,"The course starts with an introduction to the atmosphere, especially the troposphere and lower stratosphere where aircraft spend most of their time. We discuss the difference between true and equivalent airspeeds. Then we introduce the basic equations that describe straight & level flight. You are introduced to the propeller as a means of propulsion. Propellers are often driven by reciprocating piston engines and so we discuss their behavior as well as the basics of chemical reactions and the behavior of gas mixtures. Then we get back to flight mechanics introducing the basic equations that describe of climbing, gliding, and turning flight. We introduce the fundamental equations associated with compressible flows, normal shocks, oblique shocks prior to looking at gas turbine engines. Then we discuss the basic operation of helicopters and quad rotor drones. We give a very basic introduction to electric motors. Finally, we return to flight mechanics again introducing the Breguet range equations, take-off, landing, and energy methods."
AERO4110,AERO4110Undergraduate,Aerospace Design 2,Faculty of Engineering,School of Mech & Manf. Eng,,"aerospace,design,aero,management,systems",,,,,,Course Link,,"This course is a capstone aerospace design project. In design teams, students develop a preliminary design of an aircraft to meet a given request for proposal. The course aims to give a holistic approach to the aerospace design process. Students are required to consider the requirements of several disciplines including conceptual design, configuration, weights, sizing, payload, aerodynamics, propulsion, structures, systems, stability and control, performance, and cost. The course will give students the opportunity to integrate these elements into a single congruous design of an aircraft. Teamwork, report writing, and presentation skills are a focus to develop important professional skills for industry."
AERO4620,AERO4620Undergraduate,"Dynamics of Aerospace Vehicles, Systems and Avionics",Faculty of Engineering,School of Mech & Manf. Eng,,"dynamics,aerospace,vehicles,systems,avionics",,,,,,Course Link,,"Topics include: Fluidic, mechanical and electrical systems in aerospace vehicles; environment control; avionics and advanced aircraft systems; computer-aided vehicle management; avionics requirements; avionics integration; airborne sensors; navigation; stability and control systems; cockpit environment; static and dynamic stability of atmospheric vehicles; flight control; handling and flying qualities"
AERO9500,AERO9500Undergraduate,Space Systems Architectures and Orbits,Faculty of Engineering,School of Mech & Manf. Eng,,"space,systems,architectures,orbits,spac",,,,,,Course Link,,"This course gives an overview of satellite systems, describing their main applications and providing a detailed introduction into the principles of orbital mechanics. The course focuses on orbital mechanics, covering orbit description and analysis, perturbations, orbital manoeuvres, interplanetary transfers and launch systems."
AERO9610,AERO9610Undergraduate,The Space Segment,Faculty of Engineering,School of Mech & Manf. Eng,,"space,segment,the,management,design",,,,,,Course Link,,"This course gives the students a basis in the design issues involved in the engineering of the space segment in order to enable to fulfil the mission.  This course covers three areas of the space segment design: 1. Design methodology for satellites; 2. Operational environment, including thermal, structural, electromagnetic environment; 3. Hardware/devices/components introduction of the space segment, incorporating the payload types and satellite supporting subsystems. Examples of current and past space missions are used to illustrate the design process and design implementation associated with the space segment of the mission. Where appropriate, theory associated with the preliminary analysis of the operation and performance of the space segment is also presented. This course delivers to the student a broad overview of the engineering principles involved with the design, development, testing and implementation of the space segment of a space mission."
AERO9660,AERO9660Undergraduate,Advanced Aerospace Propulsion,Faculty of Engineering,School of Mech & Manf. Eng,,"aerospace,propulsion,adva,management,design",,,,,,Course Link,,"We start by conduction, convection, and radiation modes of heat transfer as our more advanced propulsion systems will require cooling. In detail, we look into a more detailed heat exchanger analysis than what was done in MMAN2700 Thermodynamics and we consider the Meredith effect. We take the basic analysis of the turbojet engine and extend it to analyse the two-spool turbofan gas turbine engine. We also analyse propelling nozzles suitable for commercial and military aircraft. We also have a detailed look at Ramjets and Scramjets. The work on rocketry is new. You will be introduced to rocket engines and rocket nozzle performance. To aid in our understanding we consider high temperature gas analysis, van der Waals equation of state and other more advanced equations of state.We pay a lot of attention to liquid rocket combustion, the prediction of adiabatic flame temperature of high-temperature reacting systems, the effects of chemical equilibrium on the adiabatic flame temperature. We also consider the burning regimes of solid rocket boosters. To complete the work on rocketry, we consider electrothermal thrusters, , nuclear rockets, ion thrusters and their optimization. Today, electrification and partial electrification of aircraft is gaining in importance. We consider hybrid powertrains, batteries, proton exchange membrane (PEM) fuel cell system analysis, electric machines (motors), boost converters for aircraft. We also take into account energy harvesting, the Betz limit, the Peukert effect, Paschen's law."
ANAT1451,ANAT1451Undergraduate,Functional Anatomy and Biomechanics 1,Faculty of Medicine and Health,School of Biomedical Sciences,,"functional,anatomy,biomechanics,func,management",,,,,,Course Link,,"Are you preparing to be a movement specialist, or seeking a deeper understanding of function and dysfunction of the body?  Immerse yourself in understanding functional anatomy of movement underpinned by foundational principles of biomechanics. In this course you will acquire a deep understanding of the neuromuscular anatomy of the body and its role in facilitating movement by integrating functional biomechanics. You will apply this knowledge to understand how movement may be compromised in musculoskeletal and nerve injury. Hands-on laboratory-based study involving human donor cadavers, medical imaging and surface anatomy will be complemented by adaptive online learning modules and case-based tutorials to understand normal function, clinical presentation and functional deficits."
ANAT1452,ANAT1452Undergraduate,Functional Anatomy and Biomechanics 2,Faculty of Medicine and Health,School of Biomedical Sciences,,"functional,anatomy,biomechanics,func,management",,,,,,Course Link,,"This course continues on from ANAT1451. You will continue to explore functional and clinically relevant visceral and musculoskeletal anatomy of the body. Application of anatomical and biomechanical principles in relation to the analysis and description of tissues and movement will be emphasised. Hands-on laboratory-based study involving human donor cadavers, medical imaging and surface anatomy will be complemented by adaptive online learning modules and problem-based skills labs to understand biomechanical concepts, clinical presentation, and functional deficits."
ANAT1521,ANAT1521Undergraduate,Anatomy for Medical Science,Faculty of Medicine and Health,School of Biomedical Sciences,,"anatomy,medical,science,anat,management",,,,,,Course Link,,"This course provides an introduction to the topographical anatomy of the whole human body, based on the study of prosected human specimens. Topics for study include: general topographical and descriptive anatomy, and musculoskeletal, nervous, cardiovascular, special sensory organ, respiratory, digestive, urinary, and reproductive systems."
ANAT2111,ANAT2111Undergraduate,Introductory Anatomy,Faculty of Medicine and Health,School of Biomedical Sciences,,"introductory,anatomy,intr,management,design",,,,,,Course Link,,"This course provides an introduction to the topographical anatomy of the whole human body, based on the study of prosected human specimens. Topics for study include: general topographical and descriptive anatomy, and musculoskeletal, nervous, special sensory organ, cardiovascular, respiratory, digestive, urinary, and reproductive systems."
ANAT2241,ANAT2241Undergraduate,Histology: Basic and Systematic,Faculty of Medicine and Health,School of Biomedical Sciences,,"histology,systematic,hist,management,design",,,,,,Course Link,,"Introduction to the microscopic anatomy of the human body based on the study of virtual histological images. Topics for study include the basic tissues (epithelium, connective tissue, muscle and nervous tissue), and the cardiovascular, respiratory, integumentary, digestive, immune, endocrine, urinary, male and female reproductive and genital systems. "
ANAT2341,ANAT2341Undergraduate,Embryology,Faculty of Medicine and Health,School of Biomedical Sciences,,"embryology,embr,management,design,research",,,,,,Course Link,,The lecture content of this course will provide students with a robust understanding of the development of the major organs and organ systems of the human body. Students will also acquire a basic understanding of how major birth abnormalities arise.
ANAT2452,ANAT2452Undergraduate,Neuroanatomy Fundamentals for Allied Health,Faculty of Medicine and Health,School of Biomedical Sciences,,"neuroanatomy,fundamentals,allied,health,neur",,,,,,Course Link,,"In this course you will gain a comprehensive understanding of the nervous system that underpins the principles of sensory perception and controls movement and posture. You will acquire in-depth knowledge of the neural structures and connections that underpin sensory processing and perception, reflexive and voluntary motor control and the emergence of complex higher functions in the cerebral cortex. Hands-on laboratory-based study involving human donor brain specimens and medical imaging will be complemented by problem-based tutorials to understand brain function, clinical presentation and functional deficits."
